date,quarter,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,department_finishing ,department_sweing
01-03-15,Quarter1,Saturday,9,1,0.024196671,0,0.037037037,0,0,0,0,8,0.81486327,1,0
01-03-15,Quarter1,Saturday,3,0.931506849,0.02013163,0,0.060185185,0,0,0,0,8,0.802466002,1,0
01-03-15,Quarter1,Saturday,1,1,0.02013163,0,0.037037037,0,0,0,0,8,0.754693834,1,0
01-03-15,Quarter1,Saturday,1,1,0.487417731,0.033388115,0.243055556,0.013888889,0,0,0,56.5,0.639448923,0,1
01-03-15,Quarter1,Saturday,3,1,0.487417731,0.039486204,0.252314815,0.013888889,0,0,0,54.5,0.638995147,0,1
01-03-15,Quarter1,Saturday,8,1,0.450251645,0.054536805,0.273148148,0.013888889,0,0,0,59,0.638990307,0,1
01-03-15,Quarter1,Saturday,12,1,0.450251645,0.036502033,0.273148148,0.0175,0,0,0,59,0.638990307,0,1
01-03-15,Quarter1,Saturday,11,1,0.1686024,0.043465098,0.273148148,0.013888889,0,0,0,29.5,0.638898559,0,1
01-03-15,Quarter1,Saturday,5,1,0.1686024,0.028500995,0.273148148,0.013888889,0,0,0,31.5,0.638798597,0,1
01-03-15,Quarter1,Saturday,6,1,0.445218738,0.04982268,0.259259259,0.013888889,0,0,0,56,0.638771927,0,1
01-03-15,Quarter1,Saturday,7,1,0.445218738,0.049217196,0.259259259,0.010555556,0,0,0,56,0.638771927,0,1
01-03-15,Quarter1,Saturday,10,0.931506849,0.317653891,0.026381801,0.25,0.015555556,0,0,0,54,0.624308359,0,1
01-03-15,Quarter1,Saturday,2,1,0.024196671,0,0.037037037,0,0,0,0,8,0.618836837,1,0
01-03-15,Quarter1,Saturday,2,0.931506849,0.328493999,0.040826918,0.25462963,0.0125,0,0,0,55,0.582518213,0,1
01-03-15,Quarter1,Saturday,10,0.863013699,0.024196671,0,0.037037037,0,0,0,0,8,0.52790134,1,0
01-03-15,Quarter1,Saturday,4,0.863013699,0.402439024,0.023527377,0.532407407,0,0,0,0,60,0.526008478,0,1
01-03-15,Quarter1,Saturday,9,0.863013699,0.487417731,0.046362771,0.266203704,0.011111111,0,0,0,57.5,0.525818092,0,1
01-03-15,Quarter1,Saturday,8,1,0,0,0.037037037,0,0,0,0,8,0.445036207,1,0
01-03-15,Quarter1,Saturday,7,1,0.02013163,0,0.037037037,0,0,0,0,8,0.441629504,1,0
01-04-15,Quarter1,Sunday,3,0.931506849,0.024196671,0,0.060185185,0,0,0,0,8,0.854467181,1,0
01-04-15,Quarter1,Sunday,9,1,0.02013163,0,0.037037037,0,0,0,0,8,0.787092761,1,0
01-04-15,Quarter1,Sunday,1,1,0.02013163,0,0.037037037,0,0,0,0,8,0.768579089,1,0
01-04-15,Quarter1,Sunday,6,1,0.1686024,0.023311132,0.269097222,0.013888889,0,0,0,31,0.728527885,0,1
01-04-15,Quarter1,Sunday,4,1,0.02013163,0,0.25462963,0,0,0,0,20,0.708188629,1,0
01-04-15,Quarter1,Sunday,9,1,0.450251645,0.055272035,0.273148148,0.016666667,0,0,0,59,0.695660018,0,1
01-04-15,Quarter1,Sunday,7,1,0.445218738,0.053066344,0.270833333,0.016666667,0,0,0,56.5,0.695509968,0,1
01-04-15,Quarter1,Sunday,8,1,0.445218738,0.044935559,0.261574074,0.0125,0,0,0,56.5,0.695407,0,1
01-04-15,Quarter1,Sunday,4,1,0.487417731,0.037972494,0.164351852,0.013888889,0,0,0,55.5,0.639305412,0,1
01-04-15,Quarter1,Sunday,1,1,0.450251645,0.044676066,0.273148148,0.0175,0,0,0,59,0.638990307,0,1
01-04-15,Quarter1,Sunday,2,1,0.487417731,0.033820604,0.256944444,0.013888889,0,0,0,55.5,0.638899179,0,1
01-04-15,Quarter1,Sunday,12,1,0.1686024,0.052590606,0.269097222,0.013888889,0,0,0,31,0.638665017,0,1
01-04-15,Quarter1,Sunday,2,1,0.02013163,0,0.037037037,0,0,0,0,8,0.629726542,1,0
01-04-15,Quarter1,Sunday,10,0.863013699,0.02013163,0,0.166666667,0,0,0,0,18,0.592651336,1,0
01-04-15,Quarter1,Sunday,11,0.931506849,0.317653891,0.022186662,0.25,0.0125,0,0,0,54,0.582637107,0,1
01-04-15,Quarter1,Sunday,3,0.931506849,0.328493999,0.031744659,0.25462963,0.0125,0,0,0,55,0.582518213,0,1
01-04-15,Quarter1,Sunday,10,0.863013699,0.487417731,0.051985122,0.266203704,0.011111111,0,0,0,57.5,0.525818092,0,1
01-04-15,Quarter1,Sunday,8,1,0,0,0.037037037,0,0,0,0,8,0.506356875,1,0
01-04-15,Quarter1,Sunday,7,1,0,0,0.037037037,0,0,0,0,8,0.489323357,1,0
01-04-15,Quarter1,Sunday,5,0.863013699,0.827913279,0.038231987,0.268518519,0.007222222,0,0,0,58,0.416954275,0,1
01-04-15,Quarter1,Sunday,11,0.931506849,0.024196671,0,0.037037037,0,0,0,0,8,0.126450668,1,0
01-05-15,Quarter1,Monday,1,1,0.02013163,0,0.074074074,0,0,0,0,8,0.820263092,1,0
01-05-15,Quarter1,Monday,11,1,0.02013163,0,0.092592593,0,0,0,0,10,0.795965854,1,0
01-05-15,Quarter1,Monday,4,1,0.02013163,0,0.148148148,0,0,0,0,16,0.744258356,1,0
01-05-15,Quarter1,Monday,3,0.931506849,0.024196671,0,0.074074074,0,0,0,0,8,0.723651714,1,0
01-05-15,Quarter1,Monday,9,1,0.450251645,0.053066344,0.273148148,0.020833333,0,0,0,59,0.695660018,0,1
01-05-15,Quarter1,Monday,9,1,0,0,0.074074074,0,0,0,0,8,0.662125469,1,0
01-05-15,Quarter1,Monday,2,1,0.02013163,0,0.037037037,0,0,0,0,8,0.643611797,1,0
01-05-15,Quarter1,Monday,7,1,0.445218738,0.054277312,0.261574074,0.013888889,0,0,0,56.5,0.639402745,0,1
01-05-15,Quarter1,Monday,8,1,0.445218738,0.04528155,0.261574074,0.010555556,0,0,0,56.5,0.639402745,0,1
01-05-15,Quarter1,Monday,1,1,0.450251645,0.049217196,0.273148148,0.0175,0,0,0,59,0.638990307,0,1
01-05-15,Quarter1,Monday,11,1,0.317653891,0.029322723,0.185185185,0.013888889,0,0,0,55,0.638913979,0,1
01-05-15,Quarter1,Monday,6,1,0.1686024,0.030793184,0.277777778,0.013888889,0,0,0,32,0.638908396,0,1
01-05-15,Quarter1,Monday,12,1,0.1686024,0.044849061,0.277777778,0.013888889,0,0,0,32,0.638908396,0,1
01-05-15,Quarter1,Monday,2,1,0.487417731,0.032739382,0.266203704,0.013888889,0,0,0,57.5,0.638717257,0,1
01-05-15,Quarter1,Monday,4,1,0.487417731,0.03282588,0.266203704,0.013888889,0,0,0,57.5,0.638717257,0,1
01-05-15,Quarter1,Monday,10,0.931506849,0,0,0.037037037,0,0,0,0,8,0.597327614,1,0
01-05-15,Quarter1,Monday,5,0.726027397,0,0,0.037037037,0,0,0,0,8,0.592699195,1,0
01-05-15,Quarter1,Monday,10,0.931506849,0.487417731,0.046838509,0.270833333,0.0125,0,0,0,58.5,0.582695234,0,1
01-05-15,Quarter1,Monday,3,0.931506849,0.328493999,0.040826918,0.25462963,0.0125,0,0,0,55,0.582518213,0,1
01-05-15,Quarter1,Monday,7,1,0.02013163,0,0.037037037,0,0,0,0,8,0.499543469,1,0
01-05-15,Quarter1,Monday,8,1,0,0,0.037037037,0,0,0,0,8,0.485916653,1,0
01-05-15,Quarter1,Monday,5,0.726027397,0.369337979,0.028803737,0.268518519,0.006388889,0,0,0,58,0.413116083,0,1
01-06-15,Quarter1,Tuesday,4,1,0.02013163,0,0.171296296,0,0,0,0,18,0.826716359,1,0
01-06-15,Quarter1,Tuesday,1,1,0.02013163,0,0.055555556,0,0,0,0,8,0.79256271,1,0
01-06-15,Quarter1,Tuesday,3,0.931506849,0.024196671,0,0.069444444,0,0,0,0,10,0.750464823,1,0
01-06-15,Quarter1,Tuesday,11,1,0.024196671,0,0.104166667,0,0,0,0,15,0.738646373,1,0
01-06-15,Quarter1,Tuesday,9,1,0.02013163,0,0.055555556,0,0,0,0,8,0.704201998,1,0
01-06-15,Quarter1,Tuesday,1,1,0.450251645,0.05133639,0.409722222,0.020833333,0,0,0,59,0.695584256,0,1
01-06-15,Quarter1,Tuesday,9,1,0.450251645,0.056439754,0.409722222,0.020833333,0,0,0,59,0.695584256,0,1
01-06-15,Quarter1,Tuesday,10,0.931506849,0.02013163,0,0.055555556,0,0,0,0,8,0.649502511,1,0
01-06-15,Quarter1,Tuesday,2,1,0.02013163,0,0.055555556,0,0,0,0,8,0.645294857,1,0
01-06-15,Quarter1,Tuesday,2,1,0.487417731,0.030966179,0.399305556,0.013888889,0,0,0,57.5,0.639301361,0,1
01-06-15,Quarter1,Tuesday,4,1,0.487417731,0.04000519,0.399305556,0.013888889,0,0,0,57.5,0.639301361,0,1
01-06-15,Quarter1,Tuesday,3,1,0.328493999,0.041648646,0.381944444,0.013888889,0,0,0,55,0.638939767,0,1
01-06-15,Quarter1,Tuesday,12,1,0.1686024,0.047616988,0.204861111,0.013888889,0,0,0,31.5,0.638789936,0,1
01-06-15,Quarter1,Tuesday,7,1,0.445218738,0.044762564,0.392361111,0.010555556,0,0,0,56.5,0.638776124,0,1
01-06-15,Quarter1,Tuesday,8,1,0.445218738,0.046838509,0.392361111,0.010555556,0,0,0,56.5,0.638776124,0,1
01-06-15,Quarter1,Tuesday,6,1,0.1686024,0.039356457,0.172453704,0.010555556,0,0,0,31.5,0.638717311,0,1
01-06-15,Quarter1,Tuesday,10,0.931506849,0.487417731,0.052287864,0.40625,0.0125,0,0,0,58.5,0.582859269,0,1
01-06-15,Quarter1,Tuesday,11,0.931506849,0.317653891,0.025516824,0.381944444,0.0125,0,0,0,55,0.58230938,0,1
01-06-15,Quarter1,Tuesday,8,1,0,0,0.055555556,0,0,0,0,8,0.504498674,1,0
01-06-15,Quarter1,Tuesday,5,0.794520548,0.369337979,0.034945074,0.402777778,0.009722222,0,0,0,58,0.469451642,0,1
01-06-15,Quarter1,Tuesday,7,1,0,0,0.055555556,0,0,0,0,8,0.431409393,1,0
01-07-15,Quarter1,Wednesday,1,1,0.02013163,0,0.055555556,0,0,0,0,8,0.809393322,1,0
01-07-15,Quarter1,Wednesday,9,1,0.02013163,0,0.055555556,0,0,0,0,8,0.729447916,1,0
01-07-15,Quarter1,Wednesday,1,1,0.450251645,0.050990399,0.409722222,0.020833333,0,0,0,59,0.695584256,0,1
01-07-15,Quarter1,Wednesday,9,1,0.450251645,0.057261483,0.409722222,0.020833333,0,0,0,59,0.695584256,0,1
01-07-15,Quarter1,Wednesday,8,1,0.445218738,0.049087449,0.392361111,0.016666667,0,0,0,56.5,0.695172017,0,1
01-07-15,Quarter1,Wednesday,3,0.931506849,0.024196671,0,0.104166667,0,0,0,0,15,0.672463053,1,0
01-07-15,Quarter1,Wednesday,4,1,0.02013163,0,0.171296296,0,0,0,0,18,0.669290216,1,0
01-07-15,Quarter1,Wednesday,2,1,0.02013163,0,0.055555556,0,0,0,0,8,0.653710163,1,0
01-07-15,Quarter1,Wednesday,10,0.931506849,0.02013163,0,0.055555556,0,0,0,0,8,0.645294857,1,0
01-07-15,Quarter1,Wednesday,7,1,0,0,0.055555556,0,0,0,0,8,0.643863829,1,0
01-07-15,Quarter1,Wednesday,2,1,0.487417731,0.033561111,0.399305556,0.0175,0,0,0,57.5,0.639301361,0,1
01-07-15,Quarter1,Wednesday,4,1,0.487417731,0.042816365,0.399305556,0.013888889,0,0,0,57.5,0.639301361,0,1
01-07-15,Quarter1,Wednesday,6,1,0.164730933,0.04264337,0.211805556,0.013888889,0,0,0,30.5,0.639018638,0,1
01-07-15,Quarter1,Wednesday,3,1,0.328493999,0.039961941,0.381944444,0.013888889,0,0,0,55,0.638939767,0,1
01-07-15,Quarter1,Wednesday,12,1,0.1686024,0.048438716,0.21875,0.013888889,0,0,0,31.5,0.638909233,0,1
01-07-15,Quarter1,Wednesday,7,1,0.445218738,0.046103278,0.392361111,0.013888889,0,0,0,56.5,0.638776124,0,1
01-07-15,Quarter1,Wednesday,10,0.931506849,0.487417731,0.049476689,0.40625,0.019166667,0,0,0,58.5,0.63863096,0,1
01-07-15,Quarter1,Wednesday,5,0.863013699,0.369337979,0.017861777,0.375,0.011111111,0,0,0,58,0.526399569,0,1
01-07-15,Quarter1,Wednesday,8,1,0,0,0.055555556,0,0,0,0,8,0.504498674,1,0
01-07-15,Quarter1,Wednesday,6,1,0,0,0.069444444,0,0,0,0,10,0.488095235,1,0
01-07-15,Quarter1,Wednesday,11,1,0.560007743,0.024565349,0.381944444,0.011111111,0,0,0,55,0.201204371,0,1
01-07-15,Quarter1,Wednesday,5,0.863013699,0.024196671,0,0.055555556,0,0,0,0,8,0.108722993,1,0
01-08-15,Quarter2,Thursday,1,1,0.02013163,0,0.055555556,0,0,0,0,8,0.805185669,1,0
01-08-15,Quarter2,Thursday,4,1,0.02013163,0,0.486111111,0,0,0,0,20,0.773852653,1,0
01-08-15,Quarter2,Thursday,9,1,0.450251645,0.052590606,0.409722222,0.024444444,0,0,0,59,0.751647873,0,1
01-08-15,Quarter2,Thursday,9,1,0.02013163,0,0.055555556,0,0,0,0,8,0.742070875,1,0
01-08-15,Quarter2,Thursday,1,1,0.450251645,0.051422887,0.409722222,0.020833333,0,0,0,59,0.695584256,0,1
01-08-15,Quarter2,Thursday,4,1,0.487417731,0.04074042,0.40625,0.020833333,0,0,0,58.5,0.695222824,0,1
01-08-15,Quarter2,Thursday,7,1,0.445218738,0.045411297,0.392361111,0.016666667,0,0,0,56.5,0.695172017,0,1
01-08-15,Quarter2,Thursday,8,1,0.445218738,0.044373324,0.392361111,0.016666667,0,0,0,56.5,0.695172017,0,1
01-08-15,Quarter2,Thursday,2,1,0.02013163,0,0.055555556,0,0,0,0,8,0.678956081,1,0
01-08-15,Quarter2,Thursday,5,0.863013699,0.024196671,0,0.148148148,0,0,0,0,8,0.662712832,1,0
01-08-15,Quarter2,Thursday,2,1,0.487417731,0.033863853,0.387731481,0.0175,0,0,0,58.5,0.639191723,0,1
01-08-15,Quarter2,Thursday,3,1,0.328493999,0.037064268,0.381944444,0.013888889,0,0,0,55,0.638939767,0,1
01-08-15,Quarter2,Thursday,12,1,0.1686024,0.023700372,0.583333333,0.0175,0,0,0,31.5,0.638751789,0,1
01-08-15,Quarter2,Thursday,6,1,0.164730933,0.017775279,0.564814815,0.013888889,0,0,0,30.5,0.638659077,0,1
01-08-15,Quarter2,Thursday,10,0.931506849,0.487417731,0.046103278,0.40625,0.019166667,0,0,0,58.5,0.63863096,0,1
01-08-15,Quarter2,Thursday,10,0.931506849,0.02013163,0,0.055555556,0,0,0,0,8,0.615841287,1,0
01-08-15,Quarter2,Thursday,8,1,0,0,0.055555556,0,0,0,0,8,0.566438742,1,0
01-08-15,Quarter2,Thursday,3,0.931506849,0.024196671,0,0.083333333,0,0,0,0,12,0.540096415,1,0
01-08-15,Quarter2,Thursday,7,1,0,0,0.055555556,0,0,0,0,8,0.504498674,1,0
01-08-15,Quarter2,Thursday,11,1,0.024196671,0,0.034722222,0,0,0,0,5,0.317909557,1,0
01-08-15,Quarter2,Thursday,11,0.383561644,0.186217576,0.012412421,1,0.010555556,0,0,0,54,0.13109475,0,1
01-08-15,Quarter2,Thursday,5,0.863013699,0.764808362,0.03131217,0.395833333,0,0,0,0,57,0,0,1
01-10-15,Quarter2,Saturday,1,1,0.02013163,0,0.083333333,0,0,0,0,8,0.847262198,1,0
01-10-15,Quarter2,Saturday,3,0.931506849,0.024196671,0,0.106481481,0,0,0,0,12,0.78562055,1,0
01-10-15,Quarter2,Saturday,4,1,0.02013163,0,0.231481481,0,0,0,0,20,0.764474779,1,0
01-10-15,Quarter2,Saturday,9,1,0.02013163,0,0.055555556,0,0,0,0,8,0.704201998,1,0
01-10-15,Quarter2,Saturday,9,1,0.450251645,0.048525214,0.409722222,0.020833333,0,0,0,59,0.696341873,0,1
01-10-15,Quarter2,Saturday,7,1,0.445218738,0.041951388,0.392361111,0.016666667,0,0,0,56.5,0.695172017,0,1
01-10-15,Quarter2,Saturday,8,1,0.445218738,0.050082173,0.392361111,0.016666667,0,0,0,56.5,0.695172017,0,1
01-10-15,Quarter2,Saturday,10,1,0.02013163,0,0.055555556,0,0,0,0,8,0.69157904,1,0
01-10-15,Quarter2,Saturday,11,1,0.024196671,0,0.055555556,0,0,0,0,8,0.658280913,1,0
01-10-15,Quarter2,Saturday,2,1,0.02013163,0,0.055555556,0,0,0,0,8,0.657917816,1,0
01-10-15,Quarter2,Saturday,4,1,0.487417731,0.028544244,0.402777778,0.0175,0,0,0,58,0.639790514,0,1
01-10-15,Quarter2,Saturday,2,1,0.487417731,0.032393392,0.399305556,0.0175,0,0,0,57.5,0.639301361,0,1
01-10-15,Quarter2,Saturday,12,1,0.1686024,0.038621227,0.181712963,0.013888889,0,0,0,31.5,0.639021659,0,1
01-10-15,Quarter2,Saturday,6,1,0.164730933,0.038361733,0.211805556,0.013888889,0,0,0,30.5,0.639018638,0,1
01-10-15,Quarter2,Saturday,1,1,0.450251645,0.05773722,0.409722222,0.0175,0,0,0,59,0.638763022,0,1
01-10-15,Quarter2,Saturday,10,1,0.487417731,0.04679526,0.40625,0.0175,0,0,0,58.5,0.63863096,0,1
01-10-15,Quarter2,Saturday,3,0.931506849,0.328493999,0.046492518,0.273148148,0.0125,0,0,0,56,0.582355053,0,1
01-10-15,Quarter2,Saturday,11,0.589041096,0.186217576,0.032393392,0.368055556,0.010555556,0,0,0,53,0.495685049,0,1
01-10-15,Quarter2,Saturday,7,1,0,0,0.055555556,0,0,0,0,8,0.49211066,1,0
01-10-15,Quarter2,Saturday,8,1,0,0,0.055555556,0,0,0,0,8,0.445655609,1,0
01-10-15,Quarter2,Saturday,5,0.589041096,0.346302749,0.041778393,0.296296296,0,0,0,0,56,0.174012365,0,1
01-10-15,Quarter2,Saturday,5,0.589041096,0.024196671,0,0.055555556,0,0,0,0,8,0.117586831,1,0
01-11-15,Quarter2,Sunday,3,0.931506849,0.024196671,0,0.055555556,0,0,0,0,8,0.791238475,1,0
01-11-15,Quarter2,Sunday,4,1,0.02013163,0,0.138888889,0,0,0,0,20,0.780324206,1,0
01-11-15,Quarter2,Sunday,9,1,0.450251645,0.047357495,0.409722222,0.024444444,0,0,0,59,0.751647873,0,1
01-11-15,Quarter2,Sunday,1,1,0.02013163,0,0.055555556,0,0,0,0,8,0.72103261,1,0
01-11-15,Quarter2,Sunday,9,1,0.02013163,0,0.055555556,0,0,0,0,8,0.704201998,1,0
01-11-15,Quarter2,Sunday,1,1,0.450251645,0.059813165,0.409722222,0.020833333,0,0,0,59,0.695584256,0,1
01-11-15,Quarter2,Sunday,7,1,0.445218738,0.04376784,0.392361111,0.0125,0,0,0,56.5,0.695172017,0,1
01-11-15,Quarter2,Sunday,8,1,0.445218738,0.052287864,0.392361111,0.016666667,0,0,0,56.5,0.695172017,0,1
01-11-15,Quarter2,Sunday,10,1,0.02013163,0,0.055555556,0,0,0,0,8,0.670540775,1,0
01-11-15,Quarter2,Sunday,2,1,0.02013163,0,0.055555556,0,0,0,0,8,0.662125469,1,0
01-11-15,Quarter2,Sunday,6,1,0.164730933,0.038361733,0.211805556,0.013888889,0,0,0,30.5,0.639018638,0,1
01-11-15,Quarter2,Sunday,12,1,0.1686024,0.038750973,0.21875,0.013888889,0,0,0,31.5,0.638909233,0,1
01-11-15,Quarter2,Sunday,2,1,0.487417731,0.034815327,0.40625,0.0175,0,0,0,58.5,0.63863096,0,1
01-11-15,Quarter2,Sunday,10,1,0.487417731,0.032955627,0.40625,0.010555556,0,0,0,58.5,0.63863096,0,1
01-11-15,Quarter2,Sunday,3,1,0.328493999,0.045108555,0.247685185,0,0,0,0,55,0.514786121,0,1
01-11-15,Quarter2,Sunday,11,1,0.024196671,0,0.055555556,0,0,0,0,8,0.489868002,1,0
01-11-15,Quarter2,Sunday,8,1,0,0,0.055555556,0,0,0,0,8,0.47352864,1,0
01-11-15,Quarter2,Sunday,5,0.589041096,0.024196671,0,0.055555556,0,0,0,0,8,0.423389222,1,0
01-11-15,Quarter2,Sunday,11,0.726027397,0.186217576,0.035939798,0.368055556,0.008333333,0,0,0,53,0.413342882,0,1
01-11-15,Quarter2,Sunday,6,1,0,0,0.055555556,0,0,0,0,8,0.410093466,1,0
01-11-15,Quarter2,Sunday,7,1,0,0,0.055555556,0,0,0,0,8,0.40229756,1,0
01-11-15,Quarter2,Sunday,4,1,0.921022067,0.024305856,0.402777778,0,0,0,0,58,0.270013165,0,1
01-11-15,Quarter2,Sunday,5,0.726027397,0.346302749,0.052244616,0.30787037,0,0,0,0,57,0.247283445,0,1
01-12-15,Quarter2,Monday,1,1,0.02013163,0,0.055555556,0,0,0,0,8,0.813600975,1,0
01-12-15,Quarter2,Monday,4,0.383561644,0.027100271,0,0.125,0,0,0,0,18,0.799010648,1,0
01-12-15,Quarter2,Monday,3,1,0.024196671,0,0.069444444,0,0,0,0,10,0.757555892,1,0
01-12-15,Quarter2,Monday,2,1,0.02013163,0,0.055555556,0,0,0,0,8,0.729447916,1,0
01-12-15,Quarter2,Monday,9,1,0.02013163,0,0.055555556,0,0,0,0,8,0.704201998,1,0
01-12-15,Quarter2,Monday,1,1,0.450251645,0.04753049,0.31712963,0.020833333,0,0,0,59,0.695606648,0,1
01-12-15,Quarter2,Monday,9,1,0.450251645,0.047270997,0.409722222,0.020833333,0,0,0,59,0.695584256,0,1
01-12-15,Quarter2,Monday,7,1,0.445218738,0.044589568,0.392361111,0.016666667,0,0,0,56.5,0.695172017,0,1
01-12-15,Quarter2,Monday,8,1,0.445218738,0.053325837,0.392361111,0.016666667,0,0,0,56.5,0.695172017,0,1
01-12-15,Quarter2,Monday,6,1,0,0,0.055555556,0,0,0,0,8,0.658280913,1,0
01-12-15,Quarter2,Monday,5,0.794520548,0.024196671,0,0.055555556,0,0,0,0,8,0.649417076,1,0
01-12-15,Quarter2,Monday,3,1,0.328493999,0.040697172,0.381944444,0,0,0,0,55,0.638939767,0,1
01-12-15,Quarter2,Monday,6,1,0.164730933,0.036458784,0.21875,0.013888889,0,0,0,31.5,0.638836003,0,1
01-12-15,Quarter2,Monday,12,1,0.1686024,0.032869129,0.172453704,0.013888889,0,0,0,31.5,0.638717311,0,1
01-12-15,Quarter2,Monday,2,1,0.487417731,0.031874405,0.40625,0.0175,0,0,0,58.5,0.63863096,0,1
01-12-15,Quarter2,Monday,8,1,0,0,0.055555556,0,0,0,0,8,0.554050729,1,0
01-12-15,Quarter2,Monday,10,1,0.921022067,0.016477813,0.267361111,0.0125,0,0,0,58.5,0.512953256,0,1
01-12-15,Quarter2,Monday,5,0.794520548,0.346302749,0.049346942,0.326388889,0,0,0,0,59,0.469516489,0,1
01-12-15,Quarter2,Monday,11,0.794520548,0.186217576,0.043421849,0.368055556,0.012222222,0,0,0,53,0.469448574,0,1
01-12-15,Quarter2,Monday,7,1,0,0,0.055555556,0,0,0,0,8,0.467334633,1,0
01-12-15,Quarter2,Monday,11,1,0.024196671,0,0.055555556,0,0,0,0,8,0.458844572,1,0
01-12-15,Quarter2,Monday,4,0.383561644,0.37746806,0.025127584,0.283564815,0,0,0,0,51.5,0.131863416,0,1
01-12-15,Quarter2,Monday,10,1,0.02013163,0,0.055555556,0,0,0,0,8,0.014146917,1,0
1/13/2015,Quarter2,Tuesday,4,0.383561644,0.027100271,0,0.083333333,0,0,0,0,12,0.810069679,1,0
1/13/2015,Quarter2,Tuesday,1,1,0.02013163,0,0.055555556,0,0,0,0,2,0.809393322,1,0
1/13/2015,Quarter2,Tuesday,10,1,0.02013163,0,0.208333333,0,0,0,0,20,0.765802038,1,0
1/13/2015,Quarter2,Tuesday,3,1,0.024196671,0,0.0625,0,0,0,0,9,0.752828512,1,0
1/13/2015,Quarter2,Tuesday,9,1,0.02013163,0,0.055555556,0,0,0,0,8,0.704201998,1,0
1/13/2015,Quarter2,Tuesday,1,1,0.450251645,0.04640602,0.409722222,0.020833333,0,0,0,59,0.695584256,0,1
1/13/2015,Quarter2,Tuesday,9,1,0.450251645,0.049995675,0.409722222,0.020833333,0,0,0,59,0.695584256,0,1
1/13/2015,Quarter2,Tuesday,8,1,0.445218738,0.052374362,0.395833333,0.016666667,0,0,0,57,0.695302563,0,1
1/13/2015,Quarter2,Tuesday,7,1,0.445218738,0.048698209,0.392361111,0.016666667,0,0,0,56.5,0.695172017,0,1
1/13/2015,Quarter2,Tuesday,5,0.794520548,0.024196671,0,0.055555556,0,0,0,0,8,0.662712832,1,0
1/13/2015,Quarter2,Tuesday,2,1,0.02013163,0,0.055555556,0,0,0,0,8,0.645294857,1,0
1/13/2015,Quarter2,Tuesday,6,1,0.1686024,0.043421849,0.21875,0.013888889,0,0,0,31.5,0.638909233,0,1
1/13/2015,Quarter2,Tuesday,12,1,0.1686024,0.045973532,0.21875,0.013888889,0,0,0,31.5,0.638909233,0,1
